,predicted,predicted_30,predicted_45,predicted_60,predicted_90,predicted_max,Encoded_SKU_ID
2022-08-01,0.0,0.0,0.0,0.0,1.0,1.0,284
2022-08-02,0.0,0.0,0.0,0.0,1.0,0.0,284
2022-08-03,0.0,1.0,0.0,0.0,0.0,1.0,284
2022-08-04,0.0,0.45,0.0,0.0,1.0,1.0,284
2022-08-05,0.45,0.0,0.0,0.0,1.0,0.0,284
2022-08-06,-1.0,0.0,0.0,0.0,0.0,2.0,284
2022-08-07,1.0,0.0,0.0,0.0,0.0,0.0,284
2022-08-01,,3.0,3.0,3.0,7.0,3.0,286
2022-08-02,,6.0,1.55,9.0,6.550000000000001,13.45,286
2022-08-03,,6.0,5.550000000000001,6.550000000000001,6.45,7.0,286
2022-08-04,,7.550000000000001,2.0,4.45,6.0,3.45,286
2022-08-05,,7.0,10.0,2.0,3.0,9.0,286
2022-08-06,,5.0,5.550000000000001,4.0,13.55,5.0,286
2022-08-07,,3.0,3.0,8.0,14.55,9.0,286
2022-08-01,,3.5500000000000003,16.0,6.0,3.0,3.0,287
2022-08-02,,3.5500000000000003,3.0,4.0,8.55,13.0,287
2022-08-03,,3.0,8.0,5.0,13.0,8.0,287
2022-08-04,,6.0,6.45,7.0,17.0,7.550000000000001,287
2022-08-05,,8.0,3.0,9.0,3.0,11.0,287
2022-08-06,,4.55,8.0,6.0,8.0,7.0,287
2022-08-07,,3.0,6.45,5.0,10.0,18.0,287
2022-08-01,,,,,,,290
2022-08-02,,,,,,,290
2022-08-03,,,,,,,290
2022-08-04,,,,,,,290
2022-08-05,,,,,,,290
2022-08-06,,,,,,,290
2022-08-07,,,,,,,290
2022-08-01,2.0,6.0,5.550000000000001,1.0,1.0,0.0,291
2022-08-02,0.55,1.0,1.0,2.45,1.0,1.0,291
2022-08-03,1.55,1.0,-0.55,0.0,1.0,1.0,291
2022-08-04,6.0,-0.55,1.4500000000000002,0.45,1.4500000000000002,1.0,291
2022-08-05,1.0,1.0,0.0,0.0,1.0,0.45,291
2022-08-06,0.0,6.0,2.0,0.45,0.0,1.55,291
2022-08-07,1.0,0.45,1.0,1.0,0.0,1.0,291
2022-08-01,0.45,1.0,0.0,1.0,1.0,2.0,292
2022-08-02,1.0,1.55,1.0,2.0,1.0,1.0,292
2022-08-03,0.55,0.55,0.0,1.0,0.0,0.0,292
2022-08-04,1.55,0.0,1.0,1.0,0.0,0.0,292
2022-08-05,2.0,2.5500000000000003,0.0,0.45,1.0,0.0,292
2022-08-06,0.45,2.0,0.0,2.0,2.0,0.0,292
2022-08-07,0.0,0.55,3.0,1.4500000000000002,2.0,0.0,292
2022-08-01,1.0,2.0,2.0,3.0,5.0,4.0,294
2022-08-02,3.0,4.0,0.0,0.0,2.0,3.0,294
2022-08-03,1.0,0.0,1.55,1.0,5.0,2.0,294
2022-08-04,3.0,0.0,5.0,2.0,1.0,1.0,294
2022-08-05,1.0,3.0,0.0,5.0,4.0,2.0,294
2022-08-06,3.0,1.4500000000000002,0.0,1.0,1.0,1.0,294
2022-08-07,1.0,1.0,1.55,1.0,0.45,0.45,294
2022-08-01,1.55,3.0,2.0,3.0,2.0,3.45,296
2022-08-02,0.0,2.0,2.45,2.0,1.0,3.45,296
2022-08-03,3.0,2.5500000000000003,1.0,0.0,2.45,0.45,296
2022-08-04,1.0,2.0,4.0,3.0,2.0,4.0,296
2022-08-05,1.0,0.0,2.5500000000000003,2.45,0.55,2.0,296
2022-08-06,1.0,2.0,1.0,0.55,4.0,1.55,296
2022-08-07,1.0,2.0,3.0,3.45,3.0,3.5500000000000003,296
2022-08-01,2.0,2.0,1.0,1.0,1.0,1.0,298
2022-08-02,0.0,0.0,0.45,2.0,1.0,0.55,298
2022-08-03,0.0,3.0,1.0,1.0,1.0,1.0,298
2022-08-04,2.0,4.0,2.0,1.0,2.0,1.0,298
2022-08-05,0.0,0.0,0.45,1.0,1.0,1.0,298
2022-08-06,0.0,2.5500000000000003,2.0,0.0,1.0,0.0,298
2022-08-07,2.0,4.0,1.0,1.0,1.0,2.0,298
2022-08-01,,,,,,,299
2022-08-02,,,,,,,299
2022-08-03,,,,,,,299
2022-08-04,,,,,,,299
2022-08-05,,,,,,,299
2022-08-06,,,,,,,299
2022-08-07,,,,,,,299
2022-08-01,1.4500000000000002,1.4500000000000002,4.0,4.0,4.0,2.0,300
2022-08-02,2.0,1.0,1.0,1.0,1.0,1.0,300
2022-08-03,5.0,1.0,1.55,1.0,1.0,3.45,300
2022-08-04,2.0,2.45,1.4500000000000002,2.0,2.0,1.0,300
2022-08-05,2.0,1.0,7.0,4.0,2.0,2.0,300
2022-08-06,1.0,1.0,0.0,1.0,0.0,1.0,300
2022-08-07,2.0,4.55,2.0,2.45,6.0,1.0,300
2022-08-01,1.0,0.0,5.0,2.0,0.55,1.0,301
2022-08-02,0.0,2.0,0.0,1.0,5.0,1.55,301
2022-08-03,0.0,1.0,5.0,1.0,3.0,1.0,301
2022-08-04,0.0,0.45,0.0,1.55,0.45,2.0,301
2022-08-05,0.45,5.0,0.0,3.0,1.0,1.0,301
2022-08-06,0.45,0.0,2.0,0.0,1.0,2.45,301
2022-08-07,0.0,4.0,3.45,5.0,1.0,1.0,301
2022-08-01,2.0,2.0,2.45,2.45,3.0,2.0,303
2022-08-02,1.0,4.45,0.0,2.0,5.0,1.0,303
2022-08-03,2.0,1.55,2.45,3.0,13.0,2.0,303
